Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15212584;8903635021155;REIFEN 500 / 60 - 22.5;18 PR, 165 A8 / 161 B, TL, FLOTATION 328;ALLIANCE;1;1476,380952
15212592;7291050013253;REIFEN 550 / 45 - 22.5;12 PR, 147 A2 / 140 A8,TL, FORESTRY 331;ALLIANCE;4;3340,595238
15212598;8903635002611;REIFEN 550 / 45 - 22.5;16 PR, 159 A8 / 155 B, TL, FLOTATION 328;ALLIANCE;;
15212605;7291050000260;REIFEN 550 / 60 - 22.5;16 PR, 167 A8 / 163 B, TL, 222;ALLIANCE;2;2995,821429
15212610;8903635005773;REIFEN 560 / 60 - 22.5;16 PR, 169 A8 / 165 B, TL, FARMPRO 327;ALLIANCE;1;1673,880952
15212616;8903635003274;REIFEN 550 / 60 - 22.5;16 PR, 166 A8 / 162 B, TL, FLOTATION 328;ALLIANCE;9;1379,797619
15212623;4040658091360;REIFEN 550 / 60 - 22.5;16 PR, 166 A8 , TL, 328 VALUE PLUS;ALLIANCE;22;1320,845238
15212624;7291050013604;REIFEN 550 / 60 - 22.5;16 PR, 167 A8 / 163 B, TL, FLOTATION 331;ALLIANCE;2;3070,345238
15212625;8903635011354;REIFEN 550 / 60 - 22.5;16 PR, 154 A8 / 166 A8, TL, 328 VALUE PLUS;ALLIANCE;8;1369,964286
15212631;7291050060493;REIFEN 600 / 50 - 22.5;16 PR, 156 A2 / 149 A8, TL, FORESTAR 343;ALLIANCE;4;4343,142857
15212632;7291050042833;REIFEN 600 / 50 - 22.5;16 PR, 158 A2 / 151 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;
15212638;7291050005296;REIFEN 600 / 50 - 22.5;16 PR, 158 D / 157 E, TL, FLOTATION 328;ALLIANCE;2;2883,523810
15212644;7291050041492;REIFEN 600 / 50 - 22.5;18 PR, 174 A6 / 170 A8, TL, FLOTATION 331;ALLIANCE;8;3987,547619
15212648;7291050005999;REIFEN 600 / 55 - 22.5;16 PR, 166 B / 161 E, TL, FLOTATION 328;ALLIANCE;8;3198,988095
15212670;7291050039505;REIFEN 700 / 50 - 22.5;16 PR, 167 D / 166 E, TL, FLOTATION 328;ALLIANCE;9;3774,702381
15212679;7291050061001;REIFEN 650 / 45 - 24.5;20 PR, 168 A2 / 161 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;
15212685;7291050061018;REIFEN 710 / 40 - 24.5;20 PR, 170 A2 / 163 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;
15212705;7291050014069;REIFEN 500 / 60 - 26.5;16 PR, 170 A2 / 163 A8, TL, FORESTRY 331;ALLIANCE;4;4144,500000
15212721;7291050008204;REIFEN 600 / 55 - 26.5;16 PR, 167 B / 163 C, TL, FLOTATION 328;ALLIANCE;13;3391,392857
15212758;8903635022930;REIFEN 710 / 45 - 26.5;20 PR, 175 A2 / 168 A8, TT, FORESTAR 644 III;ALLIANCE;3;5996,583333
15212759;7291050084581;REIFEN 710 / 45 - 26.5;20 PR, 175 A2 / 168 A8, TL, FORESTAR 344 ELIT;ALLIANCE;2;5944,452381
15212760;7291050042864;REIFEN 710 / 45 - 26.5;20 PR, 175 A2 / 168 A8, TL, FORESTAR 344, LS-2;ALLIANCE;10;6490,452381
15212763;7291050060646;REIFEN 710 / 45 - 26.5;24 PR, 180 A2 / 173 A8, TL,;ALLIANCE;1;7177,833333
15212831;7291050009140;REIFEN 700 / 50 - 26.5;16 PR, 170 B / 166 C , TL, FLOTATION 328;ALLIANCE;13;4062,797619
15212843;;;;;3;8301,750000
15212848;7291050058025;REIFEN 750 / 55 - 26.5;20 PR, 184 A2 / 177 A8, TL, FORESTAR 343;ALLIANCE;;
15212850;7291050042871;REIFEN 800 / 40 - 26.5;20 PR, 177 A2 / 170 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;
15212870;7291050039659;REIFEN 800 / 45 - 26.5;16 PR, 177 A8 / 173 B, TL, FLOTATION 328;ALLIANCE;1;4521,583333
15213600;7291050042567;REIFEN 800 / 45 - 30.5;16 PR, 179 A8 / 175 B, TL, FLOTATION 331;ALLIANCE;;
15215110;;REIFEN 340 / 65 R 18;148 A8 / 145 E, TL, AGRO TRAILER MPT;ALLIANCE;3;1026,797619
15215525;7291050055208;REIFEN 500 / 60 R 22.5;155 D, TL, 390;ALLIANCE;6;2780,452381
15215531;8903635011781;REIFEN 560 / 60 R 22.5;165 D, TL, 882;ALLIANCE;;
15215533;7291050063456;REIFEN 560 / 60 R 22.5;170 D, TL, 390 INDUSTRIAL HD;ALLIANCE;2;3514,154762
15215566;7291050058162;REIFEN 600 / 50 R 22.5;166 F, TL, 390 MPT;ALLIANCE;4;4874,369048
15215570;7291050022972;REIFEN 600 / 50 R 22.5;159 E, TL, 390;ALLIANCE;4;3944,202381
